text,hygiene,,,,
Whoa. This place is good. Monday through Friday mornings are made better by the presence of Delicato. I try to expand my horizons past a bacon egg and cheese extra cheese on a bagel but it's just so delicious that I can't seem to deny it. Matched with a Vitamin Water or Nantucket Nectars and you'll have yourself a pretty excellent breakfast.Lunch is also good. I'll be honest I haven't had too much from there in terms of the lunch menu but what I have had BLT grilled cheese with bacon - I like bacon - is really tasty. You also get a pretty tangy side of pasta salad always a nice bonus to any meal. There is also a pretty decent drink selection. Extra bonus? Their menu is available online so if you aren't quite sure what you want that day but you're really curious about the specials just pop online and check it out. Awesome. I love a place that allows me to be fat and lazy at the same time.I've gotta give props to the excellent staff. So friendly. They clearly don't judge me every time I go in and order the same thing for breakfast and they even ask me if I am picking anything up for my friends at work. They started to recognize me only after a few visits which is pretty awesome considering how swamped it can get in the morning.Good amount of seating available but don't expect to take a huge party there. It's a nice spot to sit down for lunch or breakfast and read the paper or a book. Just don't be that person who hogs the table when there are clearly people waiting to grab a seat.Talk about food selection. I know I know I've only gotten the same thing over a couple times. But their menu is just so huge that I get overwhelmed and blurt out the first thing with bacon that comes to mind. That's another bonus to having the menu online. You can prep before going in and not be swayed by all the fall back easy things to order.Hours are from Monday to Friday open until 3 so it's definitely a great place to check out during the work week. It's worth making a few trips there as well because there are so many options. And it's just a cute little deli. Who doesn't like that?,yes,,,,
Everyday I love this place more and more.  The ladies of my office and I have taken to getting breakfast sandwiches here and I have now had to limit myself just to one a week.  Bacon Egg and Extra Cheese on a bagel with a little ketchup.  That makes a depressing morning stuck in the office not quite as terrible.  The staff knows us and always asks if we want the usual.  Good times all around!  As Jocelyn C' said  the bottled drinks selection is the best for the area!  anything from soda to vitamin water to honest ade and tea!  I seriously and truly love Delicato!  Too many exclamation marks!,yes,,,,
This off the beaten path spot is a place you should find.  I would rate it higher but I've only been here a few times.  However every time I've been here it's been very good and I can't wait to get over more.  A huge menu with very small print with all sorts of sandwiches that have names personally a big fan of The Cowboy.  Friendly staff.  Big portions.  Quality food.  What's not to like.  Be aware though the set up is a little funky with the line/ordering.,yes,,,,
Five stars for you!As I sit here updating my review on Delicato I am munching on a grilled cheese with bacon of course and a side of pasta salad. The only thing that could have made this better is if I had remembered to pick up a chocolate chip cookie. Next time.The service is great the menu is huge the chocolate chip cookies are delicious when you pull it apart chocolate oozes... gorgeous and it's just a nice place to grab either a quick bite to eat or to sit with a friend and chat for a while. You are always greeted with a smile.I don't even know what else to say. It's just fabulous and you should really try it.,yes,,,,
Delicato has become a regular in the lunch rotation now that I've been there a few more times.  Good portions quality ingredients and a great staff.  Don't hesitate to go here for breakfast sandwiches either.  They do a mean bacon egg and cheese.,yes,,,,
Just ate here for the first time and it's right by my office. It's very convenient and great service. I was in and out with my meal in under 5 minutes which is not easy to find.  I ordered a lunch special but I think it's on the regular menu.  Turkey wrap with sprouts lettuce tomato carrots and dijon mustard.  Good but not great. I think the mustard was bland which didn't help so it was only ok nothing jumped out at me.  But it did come with some pasta salad and a pickel which was a surprise,  I will try it again because the reviews are good and it's easy and other things looked good on the menu.  Cute little place too!,yes,,,
"Food court lunches only to be eaten in moments of Thai desperation. Nice people. Everything is like $5 which I like.I had a breaded chicken dish in basil sauce twice. I think they call it Homestyle Chicken or something. The first time it was surprisingly tasty but the second time I felt ill afterward. Stay away from the bland red curry chicken. One brave day I also tried the ""Seafood Madness."" It wasn't bad for $5 consisted of mostly imitation crab in a pleasant brown sauce but also it was smelly and dirty place.",no,,,,
Fucking puke fest. I got throw up and poopy ill after eating crab cakes here last summer. Seriously no fun. I thought this place was great because they have a outside seatign area where you can smoke and word of mouth has it that dogs are OK outside so I went. I had been years before and an uneventful experience with a guiness and shephards pie. but visit #2 which also included a $9 johnny black & soda ont he rocks fucking strip club prices man is really what i'm writing about. if you can skip this tourist trap save your cash and innards for another crap fest down the street.,no,,,,
I just ordered take-out from Misono - a spicy tuna roll and a philly roll my stand-bys - and I gotta say I was NOT impressed!  Based on these other reviews maybe I need to give it one more try but I'm really not inclined to try any more sushi.  The fish didn't seem extremely fresh salmon should not look like gray jelly and the cucumbers in both of my rolls were soggy and looked rotten.  The rolls were not even rolled well - they all fell apart.  The upside I guess is that the price was pretty low lunch special - two rolls and miso soup for under $10 and I only feel a little ill as a result.,no,,,,
I ordered the lobster and several fish dinners for friends.  To make a long story short....food poisoning.  We all became quite ill and the food was quite bad.  The servers are very rude and almost no one speaks English.  Stay away from Boston and Maine!,no,,,,
I was very iffy about coming here. I read a lot of reviews bad ones at that before I came. I was going on a date and I strongly suggested we go somewhere else after seeing over 10 horrible reviews whether it be about the service or the food. But my date insisted we go here so I thought why not its boston it can't be that bad. We got there and it was a cute restaurant. Very small though. We were seated in a window which was great. We had a nice street view and men playing instruments came and played music for us. There was another table next to us that ended up being filled. It was really close and kind of awkward with another couple almost on top of us it almost looked as if we were all together. I orderd the shrimp scampi thinking where could I go wrong. It didn't taste bad just very bland Food wasnt fresh. My date got the Chicken parm which I should have ordered. His meal was excellent great sauce.My meal on the other hand ended up making me sick. I was violently ill the next day. I'm not sure if it was food poisoning but I ended up in the hospital because I couldn't even keep water down. It's quaint but I would stay far FAR away from their fish!!!,no,,,,
This review is a long time coming!I have been here a couple times and I have only had great experiences here. I would go as far as to say this is the BEST tapas restaurant I have been to in Boston. Let me explain why:1. The bar. Makes this place a perfect first date. The bartender I have been served by twice now I wish I knew his name! is extremely personable and patient. He overheard me talking about how much I love Aviations a bomb gin drink. - highly recommend it! and suggested I try that night's drink special which was very similar. However my FAVORITE drink at this spot is the El Diablo. Tables and floors were clean and decorated nicely It's a tequila drink with actual pepper flakes. Spicy savoy and all out amazing. If spicy and tequila are 2 things you like you'll LOVE the Diablo.2. Parking. . Highly recommend!,yes,,,,
While in search of the perfect after class relaxation destination  I found Estragon on Harrison. It is way too close to school for my own good! I have been to Estragon four  times now and I'm addicted! It's a great place to unwind with tons of cava and tapas. The tapas are delicious- especially the fried artichoke hearts and the chicken breast stuffed with goat cheese. So not kosher but oh so good......Kitchen was clean ..,yes,,,,
"it's my first time to try jo jo taipeii love it so much definitely gonna come back more often.everything we order is awesomeespecially the lamb and soup....and i love their special teait tastes good and it's good for the health and skin. recommend it to all the ladies.....     to be honest it's the best taiwanese restaurant in boston. Tables were neat and clean .A cute girl called ""lucy"" is our server today she's so pretty cute and outgoinglove her so much.....    btw make sure if have cash when you go to this placecuz if you pay cashu gonna get 10% off.......",yes,,,,
Terrible I placed an order to go.  While I'm there waiting I hear a rat run across the ceiling.  So I left.,no,,,,
I used to live above this place and the owner was also my landlord.he's a mess pays off the health department. This place is NASTY. The Taco Bell Rat video was NOTHING compared to what goes on here and the roches are out of control.if you go here make your next stop the hospital!One star too many.,no,,,,
Food was good I had the halibut very tasty and the raspberry vinegarette was great.  The drinks were good.  The caesar salad was tasty the dressing was especially good.  The bill was a bit expensive around $320 for a group of five.  Our waiter Allen was fantastic.  I would recommend that you ask for him if you decide to visit this restaurant. IT was neat and clean . He was attentive to our needs took our orders promptly and even gave suggestions about some great food choices.   The rest of the staff was quick to fill our water glasses and remove our plates as we finished each course.  We were seated near the window which we were hoping for.  The view of the city was nice but there were bones and feathers on the deck outside our window.  I also saw a rat running around outside kind of gross but it was outside.   I would hope that the owner of the restaurant would be more attentive to these little details especially when the food is quite costly.  Parking was free and there were plenty of spaces.  The pictures of all of the celebrity guests posted on the lobby walls were neat to look at.  Reservations were made on opentable.com and we were seated promptly upon arrival.  Overall it was a good experience but hopefully they will clean up their deck!,yes,,,,
Dining with the RATS:So it is most likely that they will not be turning tables that fast, and that's part of the reason why you are paying that much for dinner.  They should just get rid of the mentality that they are the Cheese Cake factory where they depend on tables having a fast turnover rate.I hope I am being fair to the food and the view but as long as that place is clear of the rats.... NEVER AGAIN!,no,,,
Since we were eight people we made a reservation for dinner. A while after our reservation time we noticed other people without reservations being seated. When we asked we were told that it was a mistake because they didn't SEE those tables. I guess it happens. We finally got seated at 10pm and our server was so terribly rude appeared hormonal that it didn't seem worth it. But they did replace our server and the manager also brought us some complimentary appetizers. The remedial actions would've saved the day and the food by itself was alright. But as we were leaving we saw a big rat run out from under the restaurant and into the sewer!!! Disgusting. I would think being a restaurant they would want to make sure their pest control is up to date. All in all very disappointing experience.,no,,,,
Stopped in for lunch on 2/9/12.  The staff was friendly service was fast.  The restaurant had a bit of an odd smell to it...maybe they were cooking up something funky in the back...I don't know.The food was OK at best.  The chicken and broccoli was a bit plain and didn't really have any taste to it.  The pork friend rice was average and the wonton soup was bland with only broth and some wontons nothing else like peapods or pork strips.  The best tasting item on my plate was the crab rangoons which were nice and crispy.They may have a bit of a rodent problem as a rat scurried across the dining room floor as I ate.  The guy sitting next to me saw it and walked out...I will not return...,no,,,,
My friend and I ate here last Saturday b/c we couldn't get a table at Jerry Remys bc of the final four game.  My friend saw a RAT while we were eating & the management knew about it!  I will NEVER eat here again.,no,,,,
"There are not many places in Boston you can use the word ""revolting"" to describe without being overly dramatic... this is absolutely one of them.  It is convenient to Fanuel Hall and they have a good dance floor and the entertainment is decent in terms of music and cover bands however if you are older than 231/2 you may be too old to enjoy this place.  Tends to be very frat party - with guys the requisite white baseball hat turned backward and stumbling drunk chicks wearing plastic tiaras prouding proclaiming ""21!""  Proof of this is further found upon entering the restrooms.   It is by far - the worst most disgusting ladies bathroom I have ever stepped foot in and is like this every single time I step foot in there.  I have plenty to compare to - I went to college at UMass AND am old enough to have gone to The Rat before it closed down..  The toilets are always backed up there is generally vomit in the sink and I once heard that a woman sued and won because she fell through the floor because it was rotten.  If you are fortunate enough to get the bartenders attention NOT an easy feat the drinks are watered down.  I have never eaten here - but don't think I could bring myself to do it..",no,,,,
What is that overwhelming stench coming from the basement? I mean down the sketchy stairs where the bathrooms storage room rat gallery and what smells like an antique cabbage collection are all housed?...Ohhhh that smell? It's urine. Gahd the Hub Pub is pretty nasty. The location is messed up across from where the Littlest Bar used to be on a semi deserted Downtown X-ing side street. I used to come here all the time for lunch because it was cheap. I see the years haven't been as kind to the Hub Pub as they have been to me fixing hair in the mirror adjusting my ascot. I still think that a $7 semi-OK club sando is Ok here but when you mix that rotting cabbage smell with food you just sort of lose your appetite. I suppose you could have fun here but remember this is not a dive bar - this is a shitty bar.,no,,,,
I just went there tonight with some friends tonight for dinner. We were seated on the upper level for dinner and drinks. There were 5 of us sitting up there.  As we were waiting for our meal one of my friends said that he saw a rat. I laughed and told him that he was crazy.  Then another friend saw a rat then I saw a rat. When we told the waitress she said that the owner would be notified. When she came back up again the rat ran across her path. She never once apologized or offered us so much as a free drink. We paid the check and scurried out. I won't be going back there again anytime soon.,no,,,,
There are so few interesting restaurants convenient to Government Center. Are there *any* actually besides Grotto? I'm a big fan of their creative risotti and their wine list and the semi-underground aesthetic of the place is deliciously cozy in the nasty Boston wintertime. Grotto was my standby when meeting friends for dinner after work......until one of my colleagues told me he wouldn't go back not since he saw the rat run across the dining room floor.Make of this what you will. I never had anything but a perfectly fine experience at Grotto. But since he told me this I haven't been back.,no,,,,
"i used to like Fire & Ice.Until my friend and I saw a rat run across the dining room while we were talking to the waiter.  He nonchalantly said ""Oh...it comes out around this time each night"".  SERIOUSLY?!?",no,,,,
We where sitting down enjoying our dinner and waiting for dessert and WE SAW A HUGE RAT WALK BY when we informed them of it they told us it's normal! That's not sanitary and to top it off they said there was nothing they could do for us!,no,,,,
We went here yesterday for Thankgiving.  I feel pretty confident that I got food poisoning or coincidentally came down with a stomach bug about 4 hours after eating here.  UGH.I got the Squash bisque Salmon and Creme Brulee.  They all tasted good but were entirely too rich--so much butter!!  I don't typically eat food as rich or as laden in butterso I thought that maybe my body was having a hard time digest the rich food.  And cue 8 hours of feverish vomiting.  Had I not gotten sick I'd be giving our experience 4-5 stars.  I am afraid though that the food may have been compromised and for the price I paid it may be a while until I can stomach pun intended going back. :,no,,,,
DON'T EAT HERE. I got really bad food poisoning after eating the chicken pad thai.,no,,,,
Don't bother. Food is as bad as everybody says it is. I ordered well aware of the reviews because it's snowing outside and it's close to where I live hoping to avoid a long delivery wait. Delivery took about 30 minutes. Not bad. Crab Rangoon were overflowing in a takeout container and were lukewarm. Didn't really matter because they're basically cream cheese on the inside. Moo goo gai pan is tasteless. Wanton soup smelled weird and I tossed it. I'm giving it 2 stars because I don't think I'm going to get food poisoning but I guess we'll have to wait and see. If I end up hospitalized I will update the review.,yes,,,,
I ordered a simple Pad Thai. The chicken was raw. I will never set foot in this place again. Avoid at all costs unless food poisoning is an acceptable risk to you.,no,,,,
I went into Miami Restaurant earnestly looking for quality Cuban food.  My girlfriend and I could not be more wrong to give this place a try.  The first red light turned on when we realized that most of the people there weren't eating at all.  They were just drinking beers and watching soccer. This was at a prime dinnertime on a weekend.  The next warning should have been that the waitress who is dressed like she is about to go to a nightclub did not speak ANY English.  I understand that English is not the first language for everybody but I would think that you would least have to be able to communicate the menu or to understand food allergies for customers.  Luckily neither of us are fussy or have any outstanding food preferences so we just picked some very basic dishes off the menu.  It took FOREVER for the food to come out and when it did it was barely edible.  The proteins were way overcooked the food was bland and the salad carelessly chopped lettuce and tomatoes did not have any flavoring AT ALL.  Somebody tell me how any of this is excusable?  I guess I should be happy I didn't get food poisoning because the ingredients looked stale. On top of everything the price we paid for the garbage they tried to pass for food was egregious.  Yelpers do yourself a favor and skip this place unless you want to watch soccer matches and enjoy a couple bottles of Corona.,no,,,,
"Zero Stars!!!I can feel my arteries hardening just thinking about this place.I should have stuck with my usual Captain Nemo's but one night I ventured another block and decided to give this place a shot. My stomach will never forgive me.The first thing I noticed upon entering was the counter is extremely high. At 5'3"" I felt like I could barely see over it. A strange thing to take notice of but it just seemed very unwelcoming to me. And I'm also sketchy and like to see who/what is touching the food I'm about to consume. The employees weren't anything to write home about either. Not especially chatty or friendly. The menu had the usual greasy/fried options you'd find at any pizza/sub joint. After careful consideration I decided to go for the steak and cheese.I was starving so by the time I got home I devoured almost half the sub without really tasting/thinking about it.But suddenly I realized that something just wasn't right. Although I couldn't put my finger on it I had someone else take a bite and they also agreed the taste was WAY off. This lead to me puking in an attempt to prevent possible food poisoning TMI?. Needless to say it took care of my hunger but not in the way I was expecting. Everyone else seemed to enjoy their food but I learned my lesson and you can find me at Nemo's from now on",no,,,,
My wife and I went here once for lunch and thought it was decent so when a Groupon came out for it we figured we'd buy it and go back.  On the second visit the service was terrible despite it not even being half full the mixed drinks that sounded awesome on the menu weren't and the same was true of their specialty burger that I ordered.  While I was eating it I thought something tasted a little off but I chalked it up to the food being as iffy as the drinks.  Turns out there was definitely something off about it because I didn't feel right even as we were leaving the restaurant and I ended up spending the night in the bathroom giving it back from both ends.  As overpriced and trendy as this place is you shouldn't be getting food poisoning.  There are better restaurants in the neighborhood.  Go elsewhere.,no,,,,
DO NOT EAT HERE! I was served rotten calamari and suffered serious food poisoning 3 hours later. I am generally not one to get food poisoning but this was pretty rough. Beware when ordering from Squealing Pig.,no,,,,
"Right now as it stands...My hubby and his family and I went to eat at the grill..and while most of the family had the cheeseburger meal with fries...two of us had fish meals both different! While I thought that the food tasted pretty good..We all ended up with food poisoning...hubby was the most sick in the whole group who went!!! We were only in Boston for about three to four days..and I was worried we would NOT make it to the airport because hubby was more ill than I was..but we are STILL both sick!! It has lasted a bit longer than I would have preferred!!! I asked my step son to report it to the restaurant..and they said that they would ""do something about it""..but now I am thinking that I will call the Health Department..and this is NOT because I would like this place to be closed down...rather that  I would loove for them to look INTO the issues at hand..and CHANGE what needs to be changed..and to KEEP the place running well as it always has been!!! I have heard good things about this place..but in order for it to stay in working condition and in ""good standings"" with the public etc..they need to be more ""ON TOP OF IT!!!""",no,,,,
"I had visions of a new favorite breakfast joint when I walked into Sorella's for the first time and started flipping through the expansive menu. With specials like cornbread french toast avocado in almost every dish and loads of veggie options how could you go wrong?Lets start with the good. Their coffee is decent and the server came by several times to refill my mug. Also the breakfast sandwich I ordered was pretty solid egg/cheese w/ avocado sprouts and lox on everything bagel.What made me give this two stars is the fresh fruit bowl I ordered. It was pretty much the opposite of ""fresh"". The strawberries were mushy and had rotten spots all over them. The cantaloupe kiwi and honeydew were previously frozen and mushy to the point where it almost fell apart on my fork. I guess my biggest gripe is that they advertise this as ""fresh"" when it's obviously not. I might go back again but would stay far away from anything with fruit which is a shame because their pancakes with fruit sounded pretty awesome.",no,,,,
I also ended up at the point last weekend St. Patty's day because there was a huge line everywhere else. I got hit up with a $10 cover charge. I was able to snag a table and really enjoyed the cover band that was playing... I don't know their name but they sounded very authentic! People were dancing like crazy to their oldies hits.It was really crowded as you would expect so it made it a little difficult to belly up to the bar to get a drink. But when you did they had a lot of beers that I like on draft. There is nothing that particularly stands out about this bar... except for one thing... there was a horrible rotten egg smell wafting through the place the whole night! I have no idea where it was coming from...,no,,,,
Rotten food! Beware! Some of the steamed broccoli was black in the center and had split open. When I called about it they insisted that we didn't like the way it was cooked. At first they told us some people like it cooked that way then they tried the excuse that the color was from the sauce - the whole dish was STEAMED! Moreover for a second dish they did not follow the special instructions for it to be spicy. Not as big a deal as rotten vegetables.,no,,,,
This is place is seriously underwhelming. The decor needs to be updated and so does its food. I went with a couple girlfriends tonight for dinner and I wasn't impressed. There were only two or three people eating tonight so service was good. However...on to the more important part - food!I ordered the salmon tempura roll and the spicy tuna roll. I also sampled a few other rolls that my friends ordered and the udon noodle soup. First the fish didn't taste fresh. The salmon rolls were forgettable and the fish had this strange stick to your teeth thing going on. The spicy tuna wasn't spicy and I could barely  taste the mayo. The salmon in my salmon tempura roll was really dry in the middle - maybe from being overcooked or previously frozen - don't know which it was. The sushi was just okay nothing to rave about. The udon noodle soup was sub-par: the noodles were fine but the broth was heavy on the mushroom flavor salty and unusually thick. The onki mushrooms were still stuck together when my friend fished a bit out of her soup. I didn't enjoy much of the food to say the least. One positive was that there was 8 healthy sized pieces of the spicy tuna and 6 huge pieces of the salmon tempura which left me full.I also went to use their restroom and it had this foul smell to it. I can't even describe to you what it smelled like - it wasn't strong or anything but one of those smells that creep up on you as you stay in the area longer. After just a minute in there I began to feel sick and wanted to throw up. AVOID THEIR BATHROOM!My advice - skip Maluken and take a 5 min walk over to Fin's on Beacon near Uburger - the fish is so much better quality and almost the same price. The value is exponentially better at Fin's and you'll be able to taste the difference.,no,,,,
I think I ate here every day for a solid six months last year and then took a new job and didn't get to venture out for lunch as often but Cafe Delicato's chili keeps me coming back for more whenever I get the chance.  The owner and the staff are super friendly!!,yes,,,,
Come here for the Boston Cream Pie and forget all the other nonsense!!! If you don't want to have to sit in the dining room go to Last Hurrah which is their bar!,yes,,,,
Food aside it really doesn't taste much different from my favorite Uno's in New Hampshire EW.  The bathrooms were sickening there was a dude rudely panhandling us while we were seated on the patio MULTIPLE TIMES and our server basically sucked.  The second star is simply for the fact that they HAVE a patio which is mostly empty probably because of all the other factors.,no,,,,
The median age is 55 and most patrons are U-G-L-Y.I left this bar after I ordered beer and ten minutes later it still hadn't arrived.  Why???Well one bartender was kissing the other bartender's...crotch.It's nast and not worth your time.  Stay away unless you like skank and the like.,no,,,,
I LOVE Rico's!!! Their Macaroni & Cheese is the best in the city! The people that work there are very nice and can get you in and out quickly during the lunch rush. All of their specials and slices are really good  but the Mac & Cheese on Wednesday and Friday is great!,yes,,,,
I just had probably the worst chicken parm sub I've ever had here. Barely lukewarm no sauce tasteless dry chicken. When I saw them preparing it I knew I was in trouble. : On top of it all it cost $7.50! Even the Sbarro in Kendall Square was better.I've been avoiding this place but will more than likely never return. Bleechchhhh!! There are many many better options in the area like Sam LaGrassa's/Pedro's even Boloco I suggest you check them out.,no,,,,
"I came by for lunch with a friend today and I can only say two good things about this place: 1 pizza portions are huge quarter of a pie = 1 slice and 2 it's very clean for a ""cafeteria"" style location.These things aside their broccoli and chicken ziti was below mediocre. It was cold soupy and had the taste of the cutting board. Also the fountain drink were limited and tasted OLD if that's possible. I had the chance to take a peak into the kitchen and it was absolutely empty in terms of activities even though it was 1pm.I don't know if I'll come back but the pizza looked okay so I might go and try their pizza but never again will I have their pasta.",yes,,,,
"Okay full disclosure: I'm a Locke-Ober addict as I should be having dined there annually for 40 years family tradition.L-O's ambiance is one-of-a-kind obviously some love it and others hate it.  It's a blast from the distant past - if you're not interested in that sort of thing go elsewhere!Another thing it brings forward from the past is the service - just about the best of any restaurant I've been to.  The waitstaff is attentive but not intrusive and very knowledgeable.  These are people who have made waiting on tables their career and it shows.The food... over the years it's been up and down.  Never bad but sometimes just so-so.  But for the past 3-4 years it's been really good - not quite 10/10 and maybe not *quite* enough to justify the high prices but very good.Last night when my brother and I dined there he started with the lobster stew and I with a Caesar salad.  Both were fantastic.  The salad greens were fresh and crispy and the dressing wasn't a tweaked Italian like most these days it was a good traditional Caesar with balanced flavors of garlic egg oil and a hint of anchovy.  My brother liked the stew and it had large chunks of lobster in it.For the main course we both had the ribeye steak.  The portions were very generous and the flavor and tenderness were on a par with Capitol Grille which is my benchmark for a great steak.  I will admit that both were just slightly undercooked - we ordered medium-rare and some parts of both were thoroughly red.For sides we both had the asparagus and liked it very much - the flavor was good and it was cooked perfectly.  I also had the pommes frites aka french fries :^  which were very good.Dessert for both of us yes we think alike was the ""soft chocolate cake with peppermint stick ice cream and whipped cream"".  The portion size was a little small but we were pretty stuffed from the rest of the meal anyway and compared to other things on the menu it's relatively inexpensive.  And it was fantastic - we both really liked it.  The cake was very rich and the ice cream was very peppermint-y.The only negative thing I can really think of and this is minor was the bread supplied before the meal - two pieces of cranberry nut bread.  It was fine but I'm not a big fan of cranberry nut bread - it would have been nice if they were a little more generous and supplied a couple of different kinds of bread.  If like many people I had a nut allergy I'd have been pretty upset.Anyhow overall I'd give the experience 5 stars and the food 4.  Would have given 4-1/2 overall if Yelp could do half-stars.",no,,,,
A bacteriological nightmareSalmonella and E. coli everywhere.Seated an hour lateWith a reservation for our date.Fingerprints were on everythingLots of birthday songs to sing.Sirloin as chewy as old gumI hope I don't have the poops out my bum.All of the handles at the buffet were stickyEwwwww I felt really icky.My server's name I do not knowCaring for customers doesn't show.When I left this place tonightI felt absolutely no delight.I will not be backNot even for a free snack.Yelpers bewareof this bacteriological nightmare.,no,,,,
Just wanted to write an update that the day after writing this review I came down with awful food poisoning for 3 days. I had to go to the doctor because I had never been that sick for more than 24 hours. My lab results came back that I had Campylobacteriosis a food borne illness similar to Salmonella.I received a call from a city of Boston public nurse to ask me questions about this and talk to be about the bacteria. She said it is very common in undercooked meat. I said I hadn't eaten much meat at all and asked about seafood. Her first response? Oysters!I feel 90% sure that I got sick from Brasserie Jo.,no,,,,
I used to live in Boston and I love this chain for some bizarre reason so I was happy to see on close to my hotel.Went in a mid-afternoon weekday.  Seemed to be on a skeleton crew.  Had to stand around and wait for someone to come behind the counter and serve me.Good pastries and sandwiches. Free wifi.Went back a day or so later in the morning and there seemed to be more staff there so it went a bit more quickly.  Staff who was there were friendly so I'd go back.Good chocolate croissants.  And normally I run screaming from most places' salmonella-laced tuna salad sandwiches but I've never gotten sick from theirs knock on wood and I've tried it both in Boston NY and Philly.  Kudos for the non-poisonous tuna from ABP!,yes,,,,
"I'm sure we've all made the mistake of getting salmonella from the veggie burger or having your friend puke up the nachos on a Saturday night or sipped on the overpriced stale tasting beers on tap. But hey I only liked I could sub my fries for mashed potatoes but that isn't enough to make me ever step foot in this place again. It's a perfect place for a mildly retarded BU or any ""college bro"" or your tramp stamp kind of gal which makes its two locations in Allston perfect for those rowdy and obnoxious bunches of kids.I won't even get into big city other then when bravos make better pizza then you. A new cook might be in order.",yes,,,,
"Z Square's second branch has finally opened just down from Kenmore tucked within BU. Like me you may ask yourself ""WHY?"" I mean Z Square tries to be a classy sit-down place with glasses of wine so why open in the middle of BU's campus?They must've done their homework that's why. Kenmore has ESK getting great business every day but very little else other than burgers bagels and burritos. On top of that I bet Z Square were sitting there in Harvard seeing rich kid after rich kid trot over from campus each day and spend daddy's money. Where next? BU... bingo!So yes on a Friday lunchtime they were doing great business from the BU-clad Jersey Girls with their Uggs and LV bags. They should thrive here. And why not? It's actually far more bearable than the Harvard location as here they are content to just be cafe that serves good food and not try to be a million other things either. The decor is neat and bright and the big windows make it an appealing spot.I won't be having lunch here every day - it's a Friday-place you go with colleagues for an end-of-week $15 treat. But it's good- my chowder my sandwich and my fries were all top-notch and served promptly on nice plates. SOLID STUFF.My major complaint:Vibrating pagers for your orders blah blah blah I hate the pagers thing. Whatever.",yes,,,,
